Issue Type,Summary,Epic Name,Epic Link,Description,Acceptance Criteria,Labels
Epic,"E1 NFC与App Clip入口","E1 NFC与AppClip入口",,"实现从NTAG216触碰到App Clip入口Sheet的完整链路。","触碰标签后2秒内出现App Clip卡片；无效标签被拒绝并提示。","phase-mvp,epic-e1"
Epic,"E2 专注会话引擎","E2 专注会话引擎",,"实现专注会话状态机、主链PoW记录与异常恢复。","会话状态机稳定运行；完成会话生成节点；失败会话记录完整。","phase-mvp,epic-e2"
Epic,"E3 预约链（CTDP）","E3 预约链（CTDP）",,"实现延时预约启动与预约链记录。","预约履约可统计；违约可判定且可追溯。","phase-mvp,epic-e3"
Epic,"E4 判例引擎（下必为例）","E4 判例引擎（下必为例）",,"实现违规采集与断链/放宽二选一判决。","所有违规事件均进入判决；规则生效可追溯。","phase-mvp,epic-e4"
Epic,"E5 Focus Shield家长控制","E5 Focus Shield家长控制",,"实现专注期App屏蔽能力与授权流程。","会话期被选App不可打开；会话后自动恢复。","phase-mvp,epic-e5"
Epic,"E6 本地数据与导入导出","E6 本地数据与导入导出",,"实现纯本地存储与加密导入导出。","核心实体可持久化；导出导入可靠。","phase-mvp,epic-e6"
Epic,"E7 统计与复盘（规则版）","E7 统计与复盘（规则版）",,"实现无AI统计看板和模板化复盘。","首页指标准确；复盘建议可追溯到事件。","phase-mvp,epic-e7"
Epic,"E8 质量与发布","E8 质量与发布",,"实现测试体系、稳定性治理和内测发布。","关键路径无P0/P1；内测指标可观测。","phase-mvp,epic-e8"
Epic,"E9 RSIP定式树","E9 RSIP定式树",,"实现定式树模型、回溯与剪枝能力。","可创建/维护定式树；失败路径可回溯。","phase-next,epic-e9"
Epic,"E10 协议模板系统","E10 协议模板系统",,"实现协议模板、参数校验与版本治理。","模板可应用；协议升级兼容历史数据。","phase-next,epic-e10"
Epic,"E11 多摆件体系","E11 多摆件体系",,"实现多标签多场景绑定与迁移。","多摆件切换正确；更换标签不丢历史。","phase-next,epic-e11"
Epic,"E12 高级Focus Shield","E12 高级Focus Shield",,"实现分级专注和时段策略。","不同模式生效正确；临时放行可审计。","phase-next,epic-e12"
Epic,"E13 高级统计分析","E13 高级统计分析",,"实现周月趋势、稳定度评分与策略效果评估。","统计可解释；变更前后可对比。","phase-next,epic-e13"
Epic,"E14 商业化与订阅","E14 商业化与订阅",,"实现订阅权益与硬件套装联动。","权益控制准确；恢复购买可用。","phase-next,epic-e14"
Story,"S1.1 NFC标签标准化与写码",,"E1 NFC与App Clip入口","定义NTAG216 URL、签名字段、写码质检和锁定策略。","合法标签验签通过；伪造标签拒绝进入流程。","phase-mvp,story-s1-1"
Task,"T1.1.1 定义NDEF URL规范",,"E1 NFC与App Clip入口","定义`/i/{tagPublicId}`短链接格式与字段约束，保证兼容 App Clip Experience。","文档评审通过；客户端可按规范解析。","phase-mvp,task-t1-1-1"
